Title,Acronym,Source,Rank,,Primary For,
International Conference on Discrete Mathematics and Theoretical Computer Science,DMTCS,CORE2018,B,No,0802,
International Conference on Distributed Computing and Artificial Intelligence,DCAI,CORE2023,National(Spain),Yes,4602,
International Conference on Distributed Computing and Internet Technologies,ICDCIT,CORE2023,National: India,No,4606,
International Conference on Distributed Computing and Networking,ICDCN,CORE2023,National: India,No,4606,
International Conference on Distributed Computing Systems,ICDCS,CORE2023,A,Yes,4606,
International Conference on Distributed Frameworks for Multimedia Applications,DFMA,CORE2018,C,No,0805,
International Conference on Dublin Core and Metadata Applications,DC,CORE2023,C,No,4605,
International Conference on e-Business,ICEB,CORE2018,B,No,0806,
International Conference on Electronic Commerce,ICEC,CORE2023,C,No,4601,
International Conference on Electronic Commerce and Web Technology,ECWeb,CORE2018,B,No,0806,
International Conference on Electronic Voting,EVOTE,CORE2018,C,No,0804,
International Conference on Email and Anti-Spam,CEAS,CORE2018,B,No,0806,
International Conference on Embedded and Real Time Computing Systems and Applications,RTCSA,CORE2023,B,Yes,4606,
International Conference on Embedded Software and Systems,ICESS,ERA2010,C,No,0905,
International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,CORE2023,B,Yes,4606,
International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN,CORE2023,Unranked,Yes,4606,
International Conference on Engineering Applications of Neural Networks,EANN,CORE2023,C,Yes,4611,
International Conference on Engineering Computational Technology,,ERA2010,B,No,0910,0913
"International Conference on Engineering Design (ICED), The Design Society",ICED,ERA2010,B,No,1203,
International Conference on Engineering Education,ICEE,CORE2018,C,No,0999,
International Conference on Enhancement and Promotion of Computational Methods in Engineering and Science,,ERA2010,A,No,0910,0905
International Conference on Enterprise Information Systems,ICEIS,CORE2018,C,No,0806,
International Conference on Enterprise Information Systems and Web Technologies,EISWT,CORE2018,C,No,0806,
International Conference on Enterprise Integration and Modelling Technology,ICEIMT,CORE2018,C,No,0806,
International Conference on Entertainment Computing,ICEC,CORE2023,C,No,4607,4603
International Conference on Environmental Systems,ICES,ERA2010,A,No,1202,
International conference on ER fluids and MR suspensions,,ERA2010,A,No,0913,
International Conference on Evaluation and Assessment in Software Engineering,EASE,CORE2023,A,Yes,4612,
International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,CORE2023,B,Yes,4612,
International Conference on Experimental Implementation of Quantum Computation,QuantCom,CORE2018,C,No,0802,
International Conference on Fast Sea Transportation,,ERA2010,A,No,0911,
International Conference on Field and Service Robotics,FSR,CORE2018,A,No,0801,
"International Conference on Fluid Control, Measurements, and Visualization",,ERA2010,B,No,0913,0915
International Conference on Fluid Mechanics,,ERA2010,B,No,0913,0915
International Conference on Formal Engineering Methods,ICFEM,CORE2023,C,Yes,4612,
International Conference on Formal Methods and Models for Co-Design,MEMOCODE,CORE2023,C,Yes,4612,
International Conference on Formal Methods for Open Object-Based Distributed Systems,FMOOD,CORE2018,C,No,0899,
International Conference on Formal Ontology in Information Systems,FOIS,CORE2023,B,Yes,4602,
International Conference on Formal Structures for Computation and Deduction,FSCD,CORE2023,B,Yes,4613,
International Conference on Foundation on Data Organization,FODO,CORE2018,A,No,0804,
International Conference on Frontiers of Handwriting Recognition,ICFHR,CORE2023,B,No,4603,
International Conference on Frontiers of Information Technology,FIT,CORE2023,National: Pakistan,No,46,
International Conference on Functional Programming,ICFP,CORE2023,A,Yes,4612,
International Conference on Fuzzy Systems and Knowledge Discovery,FSKD,CORE2018,C,No,0801,
International Conference on Generative Programming and Component Engineering,GPCE,CORE2023,B,No,4612,
International Conference on Genetic Algorithms,ICGA,CORE2018,B,No,0801,
International Conference on GeoComputation,GeoComp,CORE2018,C,No,0909,
International Conference on Graph Transformations,ICGT,CORE2023,B,Yes,4613,
"International Conference on Green, Pervasive and Cloud Computing (was Grid and Pervasive Computing)",GPC,CORE2023,C,No,4606,
International Conference on Grid and Cooperative Computing,GCC,CORE2018,C,No,0805,
International Conference on Grid Computing and Applications,GCA,CORE2018,C,No,0805,
"International Conference on Grid computing, high-performance and Distributed Applications",GADA,CORE2018,C,No,0805,
"International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN, changed in 2003)",CODES+ISSS,CORE2023,C,No,CSE,
International Conference on Health Informatics,Healthinf,CORE2018,C,No,0806,
"International Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness (was International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks)",Qshine,CORE2023,C,Yes,4606,
International Conference on High Performance Computing,HiPC,CORE2023,National: India,Yes,4606,
International Conference on High Performance Computing and Networking,HPCN,CORE2018,B,No,,
"International Conference on High Performance Computing, Networking and Communication Systems",HPCNCS,CORE2018,B,No,0805,
International Conference on High Performance Scientific Computing,HPSC,CORE2023,National: Vietnam,No,4606,
International Conference on High Performance Yacht Design,,ERA2010,A,No,0911,
International Conference on High-Performance Clustered Computing (International Conference on Linux Clusters),LCI,CORE2018,C,No,0805,
International Conference on Human Factors in Computing Systems,CHI,CORE2023,A*,Yes,4608,
International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI,CORE2023,B,Yes,4608,
International Conference on Hybrid Artificial Intelligence Systems,HAIS,CORE2023,National: Spain,No,4602,
International Conference on Hybrid Intelligent Systems,HIS,CORE2023,C,No,4602,
International Conference on Hydroinformatics,,ERA2010,C,No,0905,
International Conference on Image Analysis and Processing,ICIAP,CORE2023,National: Italy,No,4603,
International Conference on Image Analysis and Recognition,ICIAR,CORE2021,C,Yes,4603,
International Conference on Image and Graphics,ICIG,CORE2023,National: China,No,4607,
International Conference on Image and Signal Processing,ICISP,CORE2023,C,Yes,4603,
International Conference on Immersive Telecommunications,IMMERSCOM,CORE2018,C,No,0801,
International Conference on Implementation and Application of Automata,CIAA,CORE2023,C,Yes,4613,
"International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings",IAQVEC,ERA2010,A,No,1202,
International Conference on Indoor Positioning and Indoor Navigation,IPIN,CORE2023,C,Yes,4606,
International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,IEA/AIE,CORE2023,C,Yes,4602,4603
International Conference on Informatics & Data-Driven Medicine,IDDM,CORE2023,C,Yes,4611,
International Conference on Informatics Education and Research,AIS SIGED: IAIM,CORE2018,B,Yes,0806,
"International Conference on Informatics in Control, Automation and Robotics",ICINCO,CORE2023,C,Yes,4602,
International Conference on Information and Communication Technologies and Development,ICTD,CORE2023,C,No,4601,
International Conference on Information and Communication Technologies for Ageing Well and e-Health,ICT4AWE,CORE2023,C,Yes,4601,4602
International Conference on Information and Communication Technologies in Tourism,ENTER,CORE2023,C,No,4601,
International Conference on Information and Communications Security,ICICS,CORE2023,C,Yes,4604,
International Conference on Information and Communications Technology,ICICT,CORE2018,C,No,08,
International Conference on Information and Emerging Technologies,ICIET,CORE2018,C,No,08,
International Conference on Information and Knowledge Engineering,IKE,CORE2023,National: USA,No,4602,
International Conference on Information Fusion,FUSION,CORE2023,C,No,4605,
International Conference on Information Processing and Management of Uncertainty,IPMU,CORE2023,C,Yes,4605,
International Conference on Information Quality,ICIQ,CORE2018,Unranked,Yes,0806,
International Conference on Information Resources Management,Conf-IRM,CORE2018,B,No,0806,
International Conference on Information Security and Assurance,ISA,CORE2018,C,No,0803,
International Conference on Information Security and Cryptography,SECRYPT,CORE2023,C,Yes,4604,
International Conference on Information Security and Cryptology,ICISC,CORE2023,National: Korea,No,4604,
International Conference on Information Systems,ICIS,CORE2018,A*,Yes,0806,
International Conference on Information Systems Analysis and Synthesis,ISAS,CORE2018,C,No,0806,
International Conference on Information Systems Development,ISD,CORE2018,A,No,0806,
International Conference on Information Systems Security,ICISS,CORE2023,National: India,No,4604,
International Conference on Information Systems Security and Privacy,ICISSP,CORE2023,C,Yes,4604,
International Conference on Information Systems Technology and its Application,ISTA,CORE2018,B,No,0806,
International Conference on Information Technology and Applications,ICITA,CORE2023,Australasian C,No,4601,
International Conference on Information Technology in Regional Areas,ITiRA,CORE2018,C,No,0899,
International Conference on Information Technology Interfaces,ITI,CORE2018,C,No,08,
International Conference on Information Technology: Coding and Computing,ITCC,CORE2020,C,No,46,
International Conference on Information Theoretic Security,ICITS,CORE2018,C,No,0803,
International Conference on Information Visualisation,IV,CORE2023,C,Yes,4608,
"International Conference on Information, Communications and Signal Processing",ICICS,CORE2018,B,No,0806,
"International Conference on Innovation in Architecture, Engineering and Construction",AEC,ERA2010,C,No,0905,
International Conference on Innovations for Community Services (was Innovative Internet Computer Systems IICS until 2014),I4CS,CORE2023,C,Yes,4601,
International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,CORE2023,B,Yes,4602,
"International Conference on Intelligent Agents, Web Technologies, and Internet Commerce",IAWTIC,CORE2018,B,No,0806,
International Conference on Intelligent and Advanced Systems,ICIAS,ERA2010,C,No,1005,
International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,CORE2023,C,No,46,
International Conference on Intelligent Pervasive Computing,IPC,CORE2018,C,No,0805,
"International Conference on Intelligent Sensors, Sensor Networks and Information Processing",ISSNIP,ERA2010,B,No,0902,
"International Conference on Intelligent Software Methodologies, Tools, and Techniques (was International Conference on Software Methods and Tools)",SoMeT,CORE2023,C,Yes,4612,
International Conference on Intelligent Systems,ICIL,CORE2018,C,No,0801,
International Conference on Intelligent Systems and Knowledge Engineering,ISKE,CORE2023,National: China,No,4602,
International Conference on Intelligent Systems Designs and Applications,ISDA,CORE2023,C,No,4602,
International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,CORE2023,C,Yes,4602,
International Conference on Intelligent Tutoring Systems,ITS,CORE2023,B,Yes,4601,
International Conference on Intelligent User Interfaces,IUI,CORE2023,A,Yes,4608,
"International Conference on Interaction Sciences: Information Technology, Culture and Human",ICIS,CORE2018,C,No,0806,
International Conference on Interactive Digital Storytelling (2008 merger of 'ICVS International Conference on Virtual Storytelling' and 'TIDSE Technology for Interactive Digital Storytelling'),ICIDS,CORE2023,C,No,4607,
International Conference on International and Communication Technologies,ICICTE,CORE2018,C,No,08,
International Conference on Internet and Web Applications and Services,ICIW,CORE2023,C,No,4606,
International Conference on Internet Computing,IC,CORE2018,B,No,0806,
International Conference on Internet Computing in Science and Engineering,ICICSE,CORE2023,C,Yes,4606,
International Conference on Internet Monitoring and Protection,ICIMP,CORE2023,C,No,4604,
"International Conference on Internet of Things, Big Data and Security",IoTBDS,CORE2023,C,Yes,4604,
International Conference on Internet Technologies and Applications,ITA,CORE2023,National: USA,No,46,
International Conference on IT Based Higher Education and Training,ITHET,CORE2018,C,No,,
International Conference on Knowledge Discovery and Data Mining,WKDD,CORE2018,C,No,0804,
International Conference on Knowledge Engineering and Knowledge Management,EKAW,CORE2023,B,Yes,4605,
International Conference on Knowledge Engineering and Ontology Development,KEOD,CORE2023,C,Yes,4605,
"International Conference on Knowledge Science, Engineering and Management",KSEM,CORE2023,C,Yes,4602,
International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,KES,CORE2023,B,No,4602,
International Conference on Knowledge-based Intelligent Electronic Systems,KIES,CORE2018,C,No,0801,
International Conference on Language and Automata Theory and Applications,LATA,CORE2023,C,No,4613,
International Conference on Leading Edge Manufacturing in 21st Century,,ERA2010,A,No,0910,
International Conference on Learning Analytics and Knowledge,LAK,CORE2023,A,Yes,4608,
International Conference on Learning Representations,ICLR,CORE2023,A*,Yes,4611,
International Conference on Legal Knowledge and Information Systems,JURIX,CORE2023,C,No,4601,
International Conference on Liquid Atomization and Spray Systems,,ERA2010,A,No,0902,
International Conference on Logic Programming,ICLP,CORE2023,A,Yes,4613,
International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR,CORE2023,B,Yes,4602,
International Conference on Machine Learning,ICML,CORE2023,A*,Yes,4611,
International Conference on Machine Learning and Applications,ICMLA,CORE2023,C,No,4611,
International Conference on Machine Learning and Cybernetics,ICMLC,CORE2023,National: China,No,4611,
International Conference on Machine Vision,ICMV,CORE2023,C,Yes,4603,
International Conference on Managed Programming Languages and Runtimes (was ManLang and previously Principles and Practice of Programming in Java: PPPJ),MPLR,CORE2023,C,Yes,4612,
International Conference on Management of Data,COMAD,CORE2023,National: India,Yes,4605,
International Conference on Management of Digital EcoSystems,MEDES,CORE2023,C,Yes,4606,
International Conference on Management of Technology,IAMOT,ERA2010,C,No,10,
International Conference on Massively Parallel Computing Systems,MPCS,CORE2018,B,No,0805,
International Conference on Mathematical Foundations of Programming Semantics,MFPS,CORE2023,B,Yes,4613,
"International Conference on Mechanics of structures, Materials and System",,ERA2010,B,No,0910,
International Conference on Medical Information  Visualisation,MediVis,CORE2018,C,No,0801,
International Conference on Metal Forming,,ERA2010,A,No,0910,
International Conference on Methods and Models in Automation and Robotics,MMAR,CORE2023,National:Poland,Yes,4611,
International Conference on Mobile and Ubiquitous Systems: Networks and Services,Mobiquitous,CORE2023,C,Yes,4606,
International Conference on Mobile Business,ICMB,CORE2018,C,No,0805,
International Conference on Mobile Data Management,MDM,CORE2023,B,Yes,4605,
International Conference on Mobile Systems and Pervasive Computing,MobiSPC,CORE2023,Unranked,Yes,4606,
"International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",UBICOMM,CORE2023,C,Yes,4606,
International Conference on Modal Analysis,,ERA2010,A,No,0905,
International Conference on Model and Data Engineering,MEDI,CORE2023,C,Yes,4605,
"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,CORE2023,A,Yes,4612,
International Conference on Model Transformation,ICMT,CORE2020,B,No,4612,
International Conference on Model-Driven Engineering and Software Development,MODELSWARD,CORE2023,C,Yes,4606,
"International Conference on Modeling, Simulation and Visualization Methods",MSV,ERA2010,C,No,10,
International Conference on Modelling and Diagnostics For Advanced Engine Systems,,ERA2010,A,No,0902,
International Conference on Modelling and Simulation,ECMS,CORE2023,Multiconference,Yes,4602,
International Conference on Modelling Decisions for Artificial Intelligence,MDAI,CORE2023,B,No,4602,
International Conference on Multi Agent Systems,ICMAS,CORE2008,A,No,,
International Conference on Multimedia,ICMR,CORE2014,B,Yes,0803,
International Conference on Multimedia Modelling,MMM,CORE2023,B,Yes,4603,
International Conference on Multimedia Retrieval (previously MIR),ICMR,CORE2023,B,Yes,4603,
International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),ICMI,CORE2023,B,Yes,4608,
International Conference on Natural Computation,ICNC,CORE2023,National: China,No,4602,
International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,CORE2023,B,Yes,4606,
International Conference on network and System Security,NSS,CORE2023,B,Yes,4604,
International Conference on Network Protocols,ICNP,CORE2023,B,Yes,4606,
International Conference on Network Softwarization,NetSoft,CORE2023,B,Yes,4606,
International Conference on Networked Computing,INC,CORE2018,C,No,0805,
International Conference on Networking and Mobile Computing,ICCNMC,ERA2010,C,No,1005,
"International Conference on Networking, Sensing and Control",ICNSC,ERA2010,C,No,0902,
International Conference on Networks and Communications,NetCoM,ERA2010,C,No,1005,
International Conference on Neural Information Processing,ICONIP,CORE2023,B,Yes,4611,
"International Conference on Neural, Parallel and Scientific Computations",NPSC,CORE2018,C,No,0801,
International Conference on New Forming Technology,,ERA2010,A,No,0910,
International Conference on New Trends of Information and Service Science,NISS,CORE2018,C,No,0806,
International Conference on Next Generation Web Services Practices,NWESP,CORE2018,C,No,0806,
International Conference on Next Generation Wired/Wireless Advanced Networking,NEW2AN,ERA2010,C,No,1005,
International Conference on Numerical Methods in Industrial Forming Processes,,ERA2010,A,No,0910,
International Conference on Object Oriented Information Systems,OOIS,CORE2018,C,No,,
"International Conference on Ocean, Offshore and Arctic Engineering",,ERA2010,A,No,0911,0907
International Conference on Operations Research,GOR,CORE2018,C,No,0802,
International Conference on Operations Research and Enterprise Systems,ICORES,CORE2023,C,Yes,4602,
International Conference on Optimization: Techniques And Applications,ICOTA,CORE2023,C,No,4602,
International Conference on Pairing-based Cryptography,Pairing,CORE2023,C,No,4604,
"International Conference on Parallel and Distributed Computing, Applications and Technologies",PDCAT,CORE2023,C,Yes,4606,
International Conference on Parallel and Distributed Processing Techniques and Applications,PDPTA,CORE2023,National: USA,No,4606,
International Conference on Parallel and Distributed Systems,ICPADS,CORE2023,B,No,4606,
International Conference on Parallel Architecture and Compilation Techniques,PACT,CORE2023,B,Yes,4606,
International Conference on Parallel Processing,ICPP,CORE2023,B,Yes,4606,
International Conference on Parallel Processing and Applied Mathematics,PPAM,CORE2023,National: Poland,No,4606,
International Conference on Pattern Recognition,ICPR,CORE2023,B,No,4603,
International Conference on Pattern Recognition Applications and Methods,ICPRAM,CORE2023,C,Yes,4603,
International Conference on Persuasive Technology,Persuasive,CORE2018,B,No,0806,
International Conference on Pervasive Computing (Joined with UbiComp from 2013),PERVASIVE,CORE2014,A*,No,0805,
International Conference on Pervasive Computing and Applications,ICPCA,CORE2018,C,No,0805,
International Conference on Pervasive Services,ICPS,CORE2018,C,No,0805,
International Conference on Practical Applications of Computational Biology & Bioinformatics,PACBB,CORE2023,National(Spain),Yes,4602,
International Conference on Practice and Theory in Public Key Cryptography,PKC,CORE2023,B,Yes,4604,
International Conference on Pressure Surges,,ERA2010,A,No,0905,
International Conference on Principles and Practice of Constraint Programming,CP,CORE2023,A,Yes,4602,
International Conference on Principles and Practice of Declarative Programming,PPDP,CORE2023,C,Yes,4613,
International Conference on Principles of Distributed Systems,OPODIS,CORE2023,B,No,4606,
International Conference on Principles of Practice in Multi-Agent Systems (prior to 2009 was Pacific Rim International Workshop on Multi-Agents),PRIMA,CORE2023,B,Yes,4602,
International Conference on Principles of Security and Trust,POST,CORE2021,Unranked,Yes,4604,
"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms)",AofA,CORE2023,C,Yes,4613,
"International Conference on Probability, Statistics and Operational Research",PSOR,CORE2018,C,No,0802,
International Conference on Process Mining,ICPM,CORE2023,B,Yes,4605,
International Conference on Product Research,,ERA2010,B,No,0910,0915
International Conference on Provable Security,ProvSec,CORE2023,C,Yes,4604,
International Conference on Qualitative Research in IT & IT in Qualitative Research,QualIT,CORE2018,B,No,0806,
International Conference on Quality of Multimedia Experience,QoMEX,CORE2023,B,Yes,4608,4607
International Conference on Real-Time and Network Systems,RTNS,CORE2023,National: France,Yes,4606,
International Conference on Recent Advances in Information Technology and Applications,RAITA,CORE2018,C,No,08,
International Conference on Recent Advances in Natural Language Processing,RANLP,CORE2023,National: bulgaria,No,4602,
International Conference on Relational and AlgebraicMethods in Computer Science (was International Conference on Relational Methods in Computer Science RelMiCS),RAMiCS,CORE2023,C,No,4613,
"International Conference on Relations, Orders and Graphs: Interaction with Computer Science",ROGICS,CORE2018,C,No,0802,
International Conference on Reliable Software Technologies,Ada-Europe,CORE2023,Journal Published,Yes,4612,
International Conference on Research Challenges in Information Science,RCIS,CORE2023,B,Yes,46,
International Conference on Reversible Computation,RC,CORE2023,C,Yes,4613,
International Conference on Rewriting Techniques and Applications (now merged with FSCD Formal Structures for Computation and Deduction),RTA,CORE2018,A,No,0802,
International Conference on Risks and Security of Internet and Systems,CRiSIS,CORE2023,C,No,4604,
"International Conference on Robotics, Vision, Signal Processing and Power Applications (was ROVPIA)",RoVISP,CORE2023,National: Malaysia,No,4603,
International Conference on Runtime Verification (was workshop pre 2010),RV,CORE2023,B,Yes,4612,
International Conference on Scientific and Statistical Data Base Management,SSDBM,CORE2023,B,Yes,4605,
International Conference on Security and Privacy for Communication Networks,SecureComm,CORE2023,C,Yes,4604,
International Conference on Security in Pervasive Computing,ICSPC,CORE2018,A,No,0806,
International Conference on Security of Information and Networks,SIN,CORE2023,C,No,4604,
International Conference on Semantic and Digital Media Technologies,SAMT,CORE2018,C,No,0806,
International Conference on Semantics Knowledge and Grid,SKG,CORE2021,National: China,No,4606,
International Conference on Sequences and their Applications,SETA,CORE2023,C,No,4604,
International Conference on Service Oriented Computing,ICSOC,CORE2023,A,Yes,4606,
International Conference on Shock and Impact Loads on Structures,,ERA2010,B,No,0905,
International Conference on Similarity Search and Applications,SISAP,CORE2023,B,Yes,4605,
"International Conference on Simulation and Modeling Methodologies, Technologies and Applications",SIMULTECH,CORE2023,C,Yes,4606,
International Conference on Smart homes and health Telematics,ICOST,CORE2023,C,Yes,4601,
International Conference on Software and Data Technologies,ICSoft,CORE2023,C,Yes,4612,
International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP,CORE2023,B,Yes,4612,
International Conference on Software Architecture (was previously WICSA),ICSA,CORE2023,A,Yes,4612,
International Conference on Software Composition,SC,CORE2018,B,No,0803,
International Conference on Software Development,SWDC,CORE2018,B,No,0803,
International Conference on Software Engineering,ICSE,CORE2023,A*,Yes,4612,
International Conference on Software Engineering Advances,ICSEA,CORE2023,C,No,4612,
International Conference on Software Engineering and Formal Methods,SEFM,CORE2023,B,Yes,4612,
International Conference on Software Engineering and Knowledge Engineering,SEKE,CORE2023,C,Yes,4612,
International Conference on Software Engineering Theory and Practice,SETP,CORE2018,C,No,0803,
"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",SNPD,CORE2023,C,No,4612,4606
"International Conference on Software Engineering: Education and Practice ",SEEP,CORE2018,B,No,,
International Conference on Software Language Engineering,SLE,CORE2023,B,Yes,4612,
International Conference on Software Quality Management,SQM,CORE2023,C,No,4612,
International Conference on Software Reuse,ICSR,CORE2023,B,Yes,4612,
"International Conference on Software Testing, Verification and Validation",ICST,CORE2023,A,Yes,4612,
International Conference on Soil Mechanics and Geotechnical Engineering,ICSMGE,ERA2010,A,No,0905,
International Conference on Spoken Language Processing,ICSLP,CORE2014,C,No,0801,
International Conference on Steel Rolling,,ERA2010,A,No,0910,
International Conference on Structural Health Monitoring of Intelligent Infrastructure,,ERA2010,A,No,0905,
International Conference on Surface Finishing Technology and Surface Engineering,ICSFT2008,ERA2010,A,No,0910,0915
International Conference on Sustainability in Energy and Buildings,SEB,ERA2010,A,No,1201,
International Conference on Sustainable Construction Materials and Technologies,SCMT,ERA2010,B,No,1202,
International Conference on Sustainable Energy Information Technology,SEIT,CORE2023,Unranked,Yes,4601,
International Conference on Systems Engineering,ICSEng,CORE2023,C,No,46,
"International Conference on Systems Research, Informatics and Cybernetics",ICSRIC,CORE2018,C,No,0806,
International Conference on Systems Thinking in Management,STM,CORE2018,C,No,0806,
International Conference on Technical Debt,TechDebt,CORE2023,B,Yes,4612,
International Conference on Technology and Business Management,ICTBM,CORE2018,C,No,0806,
International Conference on Technology Education,TE,CORE2018,C,No,,
International Conference on Technology of Plasticity,,ERA2010,A,No,0910,
International Conference on Telecom Technology and Applications,ICTTA,ERA2010,C,No,1005,
International Conference on Temporal Logic,ICTL,CORE2018,A,No,0802,
International Conference on Testing Software and Systems,ICTSS,CORE2023,C,Yes,4612,
International Conference on Tests and Proofs,TAP,CORE2023,C,Yes,4612,
International Conference on the Application and Theory of Petri Nets and Concurrency,Petri Nets,CORE2023,B,No,4606,
International Conference on the Foundations of Digital Games,FDG,CORE2023,C,No,4607,
International Conference on the Principles of Knowledge Representation and Reasoning,KR,CORE2023,A*,Yes,4602,
International Conference on the Quality of Information and Communications Technology,QUATIC,CORE2023,C,Yes,4612,
International Conference on the Simulation and Synthesis of Living Systems,ALIFE,CORE2023,C,Yes,4602,
International Conference on the Statistical Analysis of Textual Data,JADT,CORE2023,C,No,4602,
International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,CORE2023,A*,Yes,4604,
International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,CORE2023,A,Yes,4604,
International Conference on the Theory of Information Retrieval,ICTIR,CORE2023,Unranked,Yes,4605,
International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX,CORE2023,B,Yes,4613,
International Conference on Theoretical and Mathematical Foundations of Computer Science,TMFCS,CORE2018,C,No,0802,
International Conference on Theoretical and Methodological Issues in machine Translation,TMI,CORE2018,B,No,0801,
International Conference on Theory and Applications of Computational Science,TACS,CORE2018,C,No,0802,
International Conference on Theory and Applications of Satisfiability Testing,SAT,CORE2023,A,Yes,4602,
International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,CORE2023,B,Yes,4605,
International Conference on Tools with Artificial Intelligence,ICTAI,CORE2023,B,Yes,4602,
International Conference on Trust Management,iTrust,CORE2018,C,No,0803,
"International Conference on Trust, Privacy and Security in Digital Business",TrustBus,CORE2023,B,Yes,4604,
"International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom,CORE2023,B,Yes,4604,
International Conference on Ubiquitous Intelligence and Computing,UIC,CORE2023,C,Yes,4606,
International Conference on Unconventional Computation and Natural Computation (was International Conference on Unconventional Computation),UC,CORE2023,C,No,4613,
International conference on unsaturated soils,Unsat,ERA2010,A,No,0905,
International Conference on Urban Drainage,,ERA2010,A,No,0905,
"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",UMAP,CORE2023,B,Yes,4608,
International Conference on Vehicle Technology and Intelligent Transport Systems,VEHITS,CORE2023,C,Yes,4606,
International Conference on Very Large Databases,VLDB,CORE2023,A*,Yes,4605,
International Conference on Virtual Execution Environments,VEE,CORE2023,B,Yes,4606,
International Conference on Virtual Rehabilitation,ICVR,CORE2023,Unranked,Yes,4601,
International Conference on Virtual Storytelling (merged into ICIDS in 2008),ICVS,ERA2010,C,No,0899,
International Conference on Virtual Systems and MultiMedia,VSMM,CORE2020,B,Yes,4607,
International Conference on Vision Theory and Applications (Joined with GRAPP from 2008),VISAPP,CORE2014,C,No,0801,
International Conference on Visual Information Systems,VISUAL,CORE2018,C,No,0801,
International Conference on VLSI Design,VLSID,CORE2023,National: India,No,4606,
International Conference on Water Sensitive Urban Design,,ERA2010,B,No,0905,
International Conference on Web and Social Media,ICWSM,CORE2023,A,Yes,4601,
International Conference on Web Engineering,ICWE,CORE2023,B,Yes,4605,
International Conference on Web Information Systems and Technologies,WEBIST,CORE2023,C,Yes,46,
International Conference on Web Information Systems Engineering,WISE,CORE2023,B,Yes,4605,
International Conference on Web-Age Information Management,WAIM,CORE2017,C,No,0806,
International Conference on Web-based Modelling and Simulation,WebSim,CORE2018,C,No,0801,
International Conference on Wind Engineering,,ERA2010,A,No,0905,
International Conference on Wired / Wireless Internet Communications,WWIC,ERA2010,B,No,1005,
"International Conference on Wireless Communications, Networking and Mobile Computing",WiCOM,ERA2010,C,No,1005,
International Conference on Wireless Networks and Mobile Communications,WINCOM,CORE2023,National:Morocco,Yes,4606,
International Conference on Worldwide Computing and Its Applications,WWCA,CORE2018,C,No,0899,
International Conference Software and Systems Engineering and their Applications,ICSSEA,CORE2018,C,No,0803,
"International Conference: Sciences of Electronics, Technologies of information and Telecommunication",SETIT,CORE2023,Unranked,Yes,46,
"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision",WSCG,CORE2023,National: Czecholslovakia,No,4607,
International Conferences on Advances in Steel Structures,,ERA2010,A,No,0905,
International Conferences on Progress of Machining Technology,,ERA2010,A,No,0910,
International Congress Aeronautical Sciences,,ERA2010,B,No,0901,
International Congress of Chinese Mathematicians,ICCM,CORE2018,C,No,0802,
International Congress of Construction History,ICCH,ERA2010,B,No,1201,
International Congress of Mathematicians,ICM,CORE2018,C,No,0802,
International Congress of Theoretical and Applied Mechanics,,ERA2010,A,No,0913,
International Congress on Computational and Applied Mathematics,ICCAM,CORE2023,C,No,4613,
International Congress on Fracture,,ERA2010,A,No,0913,
International Congress on Industrial and Applied Mathematics,,ERA2010,B,No,0910,
International Congress on Modelling and Simulation,MODSIM,CORE2023,Australasian C,No,4602,
International Construction Management and Economics Conference,SIBRAGEC,ERA2010,B,No,1202,
International Corrosion Congress,,ERA2010,A,No,0913,
